Name,Reopening Plan,
Quinnipiac UniversityNew Haven County? CT,Primarily in person,
University of Texas at TylerSmith County? TX,Hybrid,
William Paterson University of New JerseyPassaic County? NJ,Primarily in person,
Southern Utah UniversityIron County? UT,Primarily online,
Morehead State UniversityRowan County? KY,Hybrid,
Tennessee Technological UniversityPutnam County? TN,Primarily in person,
Laredo CollegeWebb County? TX,Undetermined,
Seton Hall UniversityEssex County? NJ,Hybrid,
Chemeketa Community CollegeMarion County? OR,Primarily online,
John Tyler Community CollegeChesterfield County? VA,Primarily online,
Purdue University Fort WayneAllen County? IN,Hybrid,
Tyler Junior CollegeSmith County? TX,Hybrid,
Independence UniversityWeber County? UT,Fully online,
Azusa Pacific UniversityLos Angeles County? CA,Fully online,
Moreno Valley CollegeRiverside County? CA,Primarily online,
University of South DakotaClay County? SD,Primarily in person,
Southern Connecticut State UniversityNew Haven County? CT,Primarily online,
University of St. Thomas (MinnRamsey County? MN,Hybrid,
West Texas A&M UniversityRandall County? TX,Primarily in person,
Florida A&M UniversityLeon County? FL,Hybrid,
Estrella Mountain Community CollegeMaricopa County? AZ,Primarily online,
State University of New York at FarmingdaleSuffolk County? NY,Hybrid,
Dixie State UniversityWashington County? UT,Primarily in person,
Schoolcraft CollegeWayne County? MI,Hybrid,
Midlands Technical CollegeLexington County? SC,Primarily in person,
Regent UniversityVirginia Beach City? VA,Primarily in person,
Los Angeles Mission CollegeLos Angeles County? CA,Fully online,
Clark CollegeClark County? WA,Primarily online,
Amarillo CollegePotter County? TX,Hybrid,
Palo Alto CollegeBexar County? TX,Primarily online,
Loyola Marymount UniversityLos Angeles County? CA,Primarily online,
Onondaga Community CollegeOnondaga County? NY,Hybrid,
Normandale Community CollegeHennepin County? MN,Primarily online,
City Colleges of Chicago? Wilbur Wright CollegeCook County? IL,Primarily online,
Pensacola State CollegeEscambia County? FL,Primarily online,
Northampton Community CollegeNorthampton County? PA,Primarily in person,
Los Medanos CollegeContra Costa County? CA,Primarily online,
University of Alabama at HuntsvilleMadison County? AL,Hybrid,
Calhoun Community CollegeLimestone County? AL,Primarily online,
Texas Southern UniversityHarris County? TX,Hybrid,
Camden County CollegeCamden County? NJ,Primarily online,
Bellevue UniversitySarpy County? NE,Fully in person,
Stockton UniversityAtlantic County? NJ,Hybrid,
Chapman UniversityOrange County? CA,Primarily online,
Evergreen Valley CollegeSanta Clara County? CA,Fully online,
Elgin Community CollegeKane County? IL,Primarily online,
Bluegrass Community and Technical CollegeFayette County? KY,Primarily online,
Prairie View A&M UniversityWaller County? TX,Primarily in person,
Colorado Mesa UniversityMesa County? CO,Primarily in person,
Lindenwood UniversitySt. Charles County? MO,Hybrid,
Owens Community CollegeWood County? OH,Hybrid,
University of Michigan at DearbornWayne County? MI,Primarily online,
Sonoma State UniversitySonoma County? CA,Primarily online,
Murray State UniversityCalloway County? KY,Primarily in person,
Union County CollegeUnion County? NJ,Primarily in person,
Solano Community CollegeSolano County? CA,Primarily online,
Southwest Tennessee Community CollegeShelby County? TN,Primarily online,
Radford UniversityRadford City? VA,Primarily in person,
University of TampaHillsborough County? FL,Primarily in person,
Baker College of FlintGenesee County? MI,Primarily online,
South Plains CollegeHockley County? TX,Primarily in person,
University of Louisiana at MonroeOuachita Parish? LA,Primarily online,
Duquesne UniversityAllegheny County? PA,Hybrid,
San Jose City CollegeSanta Clara County? CA,Fully online,
Southeast Community College (Neb.)Lancaster County? NE,Hybrid,
Howard Community CollegeHoward County? MD,Primarily online,
Waubonsee Community CollegeKane County? IL,Primarily online,
Volunteer State Community CollegeSumner County? TN,Primarily online,
Howard UniversityDistrict of Columbia? DC,Fully online,
Maryville University of Saint LouisSt. Louis County? MO,Hybrid,
Gwinnett Technical CollegeGwinnett County? GA,Hybrid,
Buffalo State CollegeErie County? NY,Primarily online,
Shasta CollegeShasta County? CA,Hybrid,
University of Wisconsin at Stevens PointPortage County? WI,Primarily online,
Jefferson State Community CollegeJefferson County? AL,Primarily online,
University of San DiegoSan Diego County? CA,Primarily online,
Mercy CollegeWestchester County? NY,Hybrid,
Lane Community CollegeLane County? OR,Primarily in person,
Skyline CollegeSan Mateo County? CA,Primarily online,
Las Positas CollegeAlameda County? CA,Primarily online,
University of Houston-Clear LakeHarris County? TX,Primarily online,
Sacred Heart UniversityFairfield County? CT,Primarily in person,
McLennan Community CollegeMcLennan County? TX,Hybrid,
University of Wisconsin at PlattevilleGrant County? WI,Primarily online,
Mississippi Gulf Coast Community College Perkinston CampusStone County? MS,Hybrid,
College of San MateoSan Mateo County? CA,Primarily online,
Creighton UniversityDouglas County? NE,Primarily in person,
Bloomsburg University of PennsylvaniaColumbia County? PA,Fully online,
Century CollegeWashington County? MN,Primarily online,
Rowan College at Burlington CountyBurlington County? NJ,Primarily online,
Illinois Central CollegeTazewell County? IL,Primarily online,
Anoka-Ramsey Community CollegeAnoka County? MN,Primarily online,
Southwestern Illinois CollegeSt. Clair County? IL,Hybrid,
Ohlone CollegeAlameda County? CA,Fully online,
Cuyamaca CollegeSan Diego County? CA,Primarily online,
College of William & MaryWilliamsburg City? VA,Primarily online,
Georgia Military CollegeBaldwin County? GA,Primarily online,
Slippery Rock University of PennsylvaniaButler County? PA,Primarily online,
University of Wisconsin-StoutDunn County? WI,Primarily online,
Fashion Institute of TechnologyNew York County? NY,Primarily online,
Brandman UniversityOrange County? CA,Fully online,
Southeastern University (Fla.)Polk County? FL,Hybrid,
Scottsdale Community CollegeMaricopa County? AZ,Primarily online,
Mercer UniversityBibb County? GA,Fully in person,
J. Sargeant Reynolds Community CollegeHenrico County? VA,Primarily online,
Los Angeles Harbor CollegeLos Angeles County? CA,Fully online,
City University of New York? York CollegeQueens County? NY,Primarily online,
City Colleges of Chicago? Harold Washington CollegeCook County? IL,Primarily online,
Santa Clara UniversitySanta Clara County? CA,Primarily online,
Mt. Hood Community CollegeMultnomah County? OR,Primarily online,
Navarro CollegeNavarro County? TX,Primarily in person,
Missouri University of Science and TechnologyPhelps County? MO,Primarily in person,
Dutchess Community CollegeDutchess County? NY,Primarily online,
Folsom Lake CollegeSacramento County? CA,Hybrid,
Salisbury UniversityWicomico County? MD,Hybrid,
University of Wisconsin at Green BayBrown County? WI,Primarily online,
University of California at MercedMerced County? CA,Primarily online,
Texas A&M University at KingsvilleKleberg County? TX,Primarily in person,
Saginaw Valley State UniversitySaginaw County? MI,Primarily in person,
University of Massachusetts at DartmouthBristol County? MA,Hybrid,
Western Illinois UniversityMcDonough County? IL,Primarily in person,
Jacksonville State UniversityCalhoun County? AL,Primarily online,
Green River CollegeKing County? WA,Primarily online,
Augusta UniversityRichmond County? GA,Hybrid,
Oakton Community CollegeCook County? IL,Primarily online,
Hudson County Community CollegeHudson County? NJ,Primarily online,
Wake Forest UniversityForsyth County? NC,Primarily online,
Cape Fear Community CollegeNew Hanover County? NC,Primarily in person,
Butler Community College (Kan.)Butler County? KS,Primarily in person,
Princeton UniversityMercer County? NJ,Fully online,
Imperial Valley CollegeImperial County? CA,Primarily online,
Salem State UniversityEssex County? MA,Hybrid,
Kutztown University of PennsylvaniaBerks County? PA,Hybrid,
State University of New York? College at BrockportMonroe County? NY,Hybrid,
Nashville State Community CollegeDavidson County? TN,Hybrid,
University of the Incarnate WordBexar County? TX,Primarily online,
Belmont UniversityDavidson County? TN,Primarily online,
Baton Rouge Community CollegeEast Baton Rouge Parish? LA,Primarily online,
Chattanooga State Community CollegeHamilton County? TN,Primarily online,
Central Georgia Technical CollegeHouston County? GA,Primarily online,
North Carolina Central UniversityDurham County? NC,Hybrid,
Cincinnati State Technical and Community CollegeHamilton County? OH,Primarily online,
Pitt Community CollegePitt County? NC,Primarily online,
Ocean County CollegeOcean County? NJ,Primarily online,
University of New OrleansOrleans Parish? LA,Hybrid,
Adelphi UniversityNassau County? NY,Primarily online,
University of Southern MaineCumberland County? ME,Primarily online,
Paradise Valley Community CollegeMaricopa County? AZ,Primarily online,
Northeastern Illinois UniversityCook County? IL,Primarily online,
Middlesex Community CollegeMiddlesex County? MA,Hybrid,
Delta CollegeBay County? MI,Primarily online,
Columbus State UniversityMuscogee County? GA,Primarily in person,
Kalamazoo Valley Community CollegeKalamazoo County? MI,Primarily online,
University of La VerneLos Angeles County? CA,Primarily in person,
Edmonds Community CollegeSnohomish County? WA,Primarily online,
Cedar Valley CollegeDallas County? TX,Primarily online,
Monterey Peninsula CollegeMonterey County? CA,Fully online,
University of New EnglandYork County? ME,Hybrid,
New Jersey City UniversityHudson County? NJ,Hybrid,
State University of New York College at OswegoOswego County? NY,Fully online,
Community College of AuroraArapahoe County? CO,Primarily online,
NorthWest Arkansas Community CollegeBenton County? AR,Primarily online,
Humboldt State UniversityHumboldt County? CA,Primarily online,
Pepperdine UniversityLos Angeles County? CA,Fully online,
Waukesha County Technical CollegeWaukesha County? WI,Primarily online,
Everett Community CollegeSnohomish County? WA,Primarily online,
Regis UniversityDenver County? CO,Hybrid,
Rensselaer Polytechnic InstituteRensselaer County? NY,Primarily online,
Community College of DenverDenver County? CO,Hybrid,
Raritan Valley Community CollegeSomerset County? NJ,Primarily online,
Texas A&M International UniversityWebb County? TX,Primarily in person,
Northeastern State UniversityCherokee County? OK,Hybrid,
New Mexico State University Dona Ana Community CollegeDona Ana County? NM,Primarily online,
Fairleigh Dickinson UniversityBergen County? NJ,Primarily online,
Metropolitan State UniversityRamsey County? MN,Primarily online,
West Valley CollegeSanta Clara County? CA,Primarily online,
Middle Georgia State UniversityBibb County? GA,Primarily in person,
Winona State UniversityWinona County? MN,Primarily online,
Thomas Jefferson UniversityPhiladelphia County? PA,Hybrid,
Mission CollegeSanta Clara County? CA,Primarily online,
Forsyth Technical Community CollegeForsyth County? NC,Primarily online,
Tennessee State UniversityDavidson County? TN,Hybrid,
Lee CollegeHarris County? TX,Primarily online,
Eastern Iowa Community College District Central OfficeScott County? IA,Primarily in person,
Rhode Island CollegeProvidence County? RI,Primarily online,
Clovis Community College (Calif.)Fresno County? CA,Primarily online,
Bucks County Community CollegeBucks County? PA,Primarily online,
Millersville University of PennsylvaniaLancaster County? PA,Primarily online,
Mott Community CollegeGenesee County? MI,Primarily online,
Morgan State UniversityBaltimore City? MD,Fully online,
College of New JerseyMercer County? NJ,Primarily online,
Mercer County Community CollegeMercer County? NJ,Primarily online,
Thomas Nelson Community CollegeHampton City? VA,Primarily online,
City Colleges of Chicago? Harry S. Truman CollegeCook County? IL,Primarily online,
McNeese State UniversityCalcasieu Parish? LA,Primarily in person,
Chippewa Valley Technical CollegeEau Claire County? WI,Primarily online,
Colorado Christian UniversityJefferson County? CO,Primarily in person,
Northwest Mississippi Community CollegeTate County? MS,Primarily in person,
State University of New York at New PaltzUlster County? NY,Primarily online,
Northern Michigan UniversityMarquette County? MI,Primarily in person,
Saint Joseph's University (Pa.)Philadelphia County? PA,Hybrid,
Gonzaga UniversitySpokane County? WA,Hybrid,
County College of MorrisMorris County? NJ,Primarily online,
California State University-Monterey BayMonterey County? CA,Primarily online,
University of Michigan at FlintGenesee County? MI,Primarily online,
Eastern Illinois UniversityColes County? IL,Primarily in person,
Essex County CollegeEssex County? NJ,Primarily online,
St. Johns River State CollegePutnam County? FL,Hybrid,
University of North AlabamaLauderdale County? AL,Hybrid,
California State University-Channel IslandsVentura County? CA,Primarily online,
Merritt CollegeAlameda County? CA,Primarily online,
Arizona Western CollegeYuma County? AZ,Primarily online,
Rose State CollegeOklahoma County? OK,Undetermined,
Coastal Alabama Community CollegeBaldwin County? AL,Fully online,
Oxnard CollegeVentura County? CA,Fully online,
University of Alaska at FairbanksFairbanks North Star Borough? AK,Hybrid,
Red Rocks Community CollegeJefferson County? CO,Primarily online,
Johnson & Wales University (R.IProvidence County? RI,Primarily online,
Hostos Community College-City University of New YorkBronx County? NY,Primarily in person,
Yavapai CollegeYavapai County? AZ,Primarily online,
California University of PennsylvaniaWashington County? PA,Fully online,
Seattle UniversityKing County? WA,Primarily online,
Quinsigamond Community CollegeWorcester County? MA,Primarily online,
Jackson State UniversityHinds County? MS,Primarily online,
Bristol Community CollegeBristol County? MA,Hybrid,
Germanna Community CollegeOrange County? VA,Primarily online,
Fitchburg State UniversityWorcester County? MA,Primarily in person,
Contra Costa CollegeContra Costa County? CA,Primarily online,
Barry UniversityMiami-Dade County? FL,Hybrid,
Suffolk UniversitySuffolk County? MA,Primarily online,
West Georgia Technical College-Murphy CampusHaralson County? GA,Fully in person,
New York Institute of TechnologyNassau County? NY,Primarily online,
Michigan Technological UniversityHoughton County? MI,Primarily in person,
Rutgers University at CamdenCamden County? NJ,Primarily online,
Southwest Minnesota State UniversityLyon County? MN,Primarily online,
University of North Carolina at PembrokeRobeson County? NC,Primarily in person,
Texas Southmost CollegeCameron County? TX,Fully online,
Rowan College-Gloucester CountyGloucester County? NJ,Primarily online,
Xavier University (Ohio)Hamilton County? OH,Primarily in person,
Rice UniversityHarris County? TX,Hybrid,
Lehigh Carbon Community CollegeLehigh County? PA,Primarily online,
City Colleges of Chicago? Malcolm X CollegeCook County? IL,Primarily online,
Odessa CollegeEctor County? TX,Undetermined,
Parkland CollegeChampaign County? IL,Primarily online,
MCPHS UniversitySuffolk County? MA,Hybrid,
University of Tennessee at MartinWeakley County? TN,Hybrid,
El Camino College at Compton (Calif.)Los Angeles County? CA,Primarily online,
Clayton State UniversityClayton County? GA,Primarily in person,
Gateway Technical CollegeKenosha County? WI,Primarily in person,
Louisiana State University at ShreveportCaddo Parish? LA,Primarily in person,
Columbia Basin CollegeFranklin County? WA,Primarily online,
McHenry County CollegeMcHenry County? IL,Hybrid,
Gateway Community College (Conn.)New Haven County? CT,Primarily in person,
Massasoit Community CollegePlymouth County? MA,Primarily online,
Elon UniversityAlamance County? NC,Primarily in person,
Georgia College and State UniversityBaldwin County? GA,Primarily in person,
Berklee College of MusicSuffolk County? MA,Fully online,
Minneapolis Community and Technical CollegeHennepin County? MN,Primarily online,
City Colleges of Chicago? Richard J. Daley CollegeCook County? IL,Primarily online,
Stevens Institute of TechnologyHudson County? NJ,Hybrid,
Saint Paul CollegeRamsey County? MN,Primarily online,
College of Southern IdahoTwin Falls County? ID,Primarily online,
Kapiolani Community CollegeHonolulu County? HI,Primarily in person,
Southwest Texas Junior CollegeUvalde County? TX,Primarily online,
Asheville-Buncombe Technical Community CollegeBuncombe County? NC,Primarily online,
Motlow State Community CollegeMoore County? TN,Primarily online,
College of Southern MarylandCharles County? MD,Primarily online,
Worcester Polytechnic InstituteWorcester County? MA,Hybrid,
University of New HavenNew Haven County? CT,Primarily in person,
Lakeland Community CollegeLake County? OH,Primarily online,
Rockland Community CollegeRockland County? NY,Primarily online,
State University of New York College at CortlandCortland County? NY,Primarily online,
Northwest Missouri State UniversityNodaway County? MO,Hybrid,
Lehigh UniversityNorthampton County? PA,Primarily online,
Virginia Western Community CollegeRoanoke City? VA,Primarily online,
Columbia College ChicagoCook County? IL,Primarily online,
College of Central FloridaMarion County? FL,Primarily online,
Seattle Central CollegeKing County? WA,Primarily online,
Lord Fairfax Community CollegeFrederick County? VA,Primarily online,
Horry-Georgetown Technical CollegeHorry County? SC,Primarily in person,
University of HartfordHartford County? CT,Primarily in person,
Wharton County Junior CollegeWharton County? TX,Primarily online,
Illinois Institute of TechnologyCook County? IL,Hybrid,
Davenport UniversityKent County? MI,Hybrid,
Colorado State University at PuebloPueblo County? CO,Primarily in person,
University of Hawaii Leeward Community CollegeHonolulu County? HI,Primarily online,
Lewis and Clark Community CollegeMadison County? IL,Hybrid,
Southern UniversityEast Baton Rouge Parish? LA,Hybrid,
San Juan CollegeSan Juan County? NM,Primarily online,
City University of New York Medgar Evers CollegeKings County? NY,Primarily online,
Ashland UniversityAshland County? OH,Hybrid,
Pittsburg State UniversityCrawford County? KS,Hybrid,
Marist CollegeDutchess County? NY,Primarily in person,
Widener UniversityDelaware County? PA,Primarily online,
Olympic CollegeKitsap County? WA,Primarily online,
Orange County Community CollegeOrange County? NY,Primarily online,
Embry-Riddle Aeronautical University at Daytona Beach (Fla.)Volusia County? FL,Fully in person,
Bossier Parish Community CollegeBossier Parish? LA,Primarily online,
Dartmouth CollegeGrafton County? NH,Primarily online,
Washburn UniversityShawnee County? KS,Hybrid,
Texas A&M University at San AntonioBexar County? TX,Primarily in person,
University of Arkansas at Fort SmithSebastian County? AR,Primarily in person,
Crafton Hills CollegeSan Bernardino County? CA,Fully online,
State University of New York College at OneontaOtsego County? NY,Fully online,
Highline CollegeKing County? WA,Primarily online,
Ithaca CollegeTompkins County? NY,Fully online,
State University of New York Broome Community CollegeBroome County? NY,Hybrid,
University of the PacificSan Joaquin County? CA,Fully online,
Passaic County Community CollegePassaic County? NJ,Primarily online,
Yeshiva UniversityNew York County? NY,Primarily in person,
Nicholls State UniversityLafourche Parish? LA,Primarily online,
Campbell UniversityHarnett County? NC,Primarily online,
Lewis UniversityWill County? IL,Primarily online,
East Stroudsburg University of PennsylvaniaMonroe County? PA,Primarily online,
Elizabethtown Community and Technical CollegeHardin County? KY,Primarily online,
Northcentral Technical CollegeMarathon County? WI,Primarily online,
Weatherford CollegeParker County? TX,Primarily in person,
College of AlamedaAlameda County? CA,Primarily online,
Shippensburg University of PennsylvaniaCumberland County? PA,Primarily online,
Concordia University WisconsinOzaukee County? WI,Primarily in person,
Albany State UniversityDougherty County? GA,Hybrid,
Rowan-Cabarrus Community CollegeRowan County? NC,Primarily online,
Central Community CollegeHall County? NE,Primarily in person,
University of Nebraska at KearneyBuffalo County? NE,Hybrid,
Colorado School of MinesJefferson County? CO,Primarily in person,
Bowie State UniversityPrince George's County? MD,Primarily in person,
Fayetteville State UniversityCumberland County? NC,Primarily online,
Mohawk Valley Community CollegeOneida County? NY,Primarily online,
North Hennepin Community CollegeHennepin County? MN,Primarily online,
South Louisiana Community CollegeLafayette Parish? LA,Primarily online,
Southern Oregon UniversityJackson County? OR,Primarily in person,
Blue Ridge Community and Technical CollegeBerkeley County? WV,Primarily online,
Florida Institute of TechnologyBrevard County? FL,Primarily in person,
St. Charles Community CollegeSt. Charles County? MO,Primarily online,
Aims Community CollegeWeld County? CO,Hybrid,
Rock Valley CollegeWinnebago County? IL,Primarily online,
Tacoma Community CollegePierce County? WA,Primarily online,
Naugatuck Valley Community CollegeNew Haven County? CT,Primarily online,
Minnesota State Community and Technical College at Fergus FallsOtter Tail County? MN,Primarily in person,
Columbia State Community CollegeMaury County? TN,Primarily online,
Worcester State UniversityWorcester County? MA,Primarily in person,
Pueblo Community CollegePueblo County? CO,Hybrid,
West Kentucky Community and Technical CollegeMcCracken County? KY,Primarily online,
Georgia Highlands CollegeFloyd County? GA,Primarily in person,
South Seattle CollegeKing County? WA,Primarily online,
University of South Carolina UpstateSpartanburg County? SC,Hybrid,
Ramapo College of New JerseyBergen County? NJ,Primarily online,
Monmouth UniversityMonmouth County? NJ,Primarily in person,
Taft CollegeKern County? CA,Fully online,
Walters State Community CollegeHamblen County? TN,Primarily online,
Northeast State Community CollegeSullivan County? TN,Hybrid,
University of Wisconsin at River FallsPierce County? WI,Primarily online,
Biola UniversityLos Angeles County? CA,Primarily online,
Alabama A&M UniversityMadison County? AL,Hybrid,
Midwestern State UniversityWichita County? TX,Primarily online,
Westfield State UniversityHampden County? MA,Primarily online,
Tri-County Technical CollegeAnderson County? SC,Hybrid,
Simmons UniversitySuffolk County? MA,Fully online,
Cerro Coso Community CollegeKern County? CA,Primarily online,
Pierce College-Fort SteilacoomPierce County? WA,Primarily online,
Clackamas Community CollegeClackamas County? OR,Primarily online,
Berkeley City CollegeAlameda County? CA,Fully online,
Eastern Arizona CollegeGraham County? AZ,Hybrid,
Missouri Southern State UniversityJasper County? MO,Primarily in person,
Aurora UniversityKane County? IL,Primarily online,
Concordia University ChicagoCook County? IL,Fully online,
Eastern New Mexico UniversityRoosevelt County? NM,Primarily online,
Manchester Community College (Conn.)Hartford County? CT,Primarily online,
Frederick Community CollegeFrederick County? MD,Hybrid,
National-Louis UniversityCook County? IL,Primarily online,
Canada CollegeSan Mateo County? CA,Primarily online,
University of Washington at BothellKing County? WA,Primarily online,
Iowa Western Community CollegePottawattamie County? IA,Hybrid,
Catholic University of AmericaDistrict of Columbia? DC,Fully online,
Shoreline Community CollegeKing County? WA,Primarily online,
Finger Lakes Community CollegeOntario County? NY,Primarily online,
University of IndianapolisMarion County? IN,Primarily online,
Yuba CollegeYuba County? CA,Other,
North Seattle CollegeKing County? WA,Primarily online,
Kansas City Kansas Community CollegeWyandotte County? KS,Hybrid,
Bradley UniversityPeoria County? IL,Primarily online,
Harford Community CollegeHarford County? MD,Primarily online,
Minnesota State University at MoorheadClay County? MN,Hybrid,
Somerset Community CollegePulaski County? KY,Primarily online,
Truman State UniversityAdair County? MO,Hybrid,
Southern Maine Community CollegeCumberland County? ME,Primarily online,
Georgia Northwestern Technical CollegeFloyd County? GA,Hybrid,
University of Texas of the Permian BasinEctor County? TX,Hybrid,
Winthrop UniversityYork County? SC,Primarily online,
Brandeis UniversityMiddlesex County? MA,Primarily online,
Emporia State UniversityLyon County? KS,Primarily in person,
North Shore Community CollegeEssex County? MA,Primarily online,
Clark State Community CollegeClark County? OH,Hybrid,
State University of New York College at PlattsburghClinton County? NY,Hybrid,
Oklahoma State University at Oklahoma CityOklahoma County? OK,Primarily online,
Colorado Mountain CollegeGarfield County? CO,Hybrid,
Roane State Community CollegeRoane County? TN,Hybrid,
Holmes Community CollegeHolmes County? MS,Primarily online,
Los Angeles Southwest CollegeLos Angeles County? CA,Fully online,
Western Iowa Tech Community CollegeWoodbury County? IA,Primarily online,
Missouri Western State UniversityBuchanan County? MO,Primarily in person,
Gavilan CollegeSanta Clara County? CA,Primarily online,
Loyola University MarylandBaltimore City? MD,Fully online,
Gulf Coast State CollegeBay County? FL,Hybrid,
Western Connecticut State UniversityFairfield County? CT,Primarily online,
Samford UniversityJefferson County? AL,Hybrid,
State University of New York College at GeneseoLivingston County? NY,Hybrid,
Hutchinson Community College and Area Vocational SchoolReno County? KS,Primarily in person,
Alvin Community CollegeBrazoria County? TX,Primarily online,
Lincoln Land Community CollegeSangamon County? IL,Primarily online,
Framingham State UniversityMiddlesex County? MA,Primarily online,
Saint Mary's University of MinnesotaWinona County? MN,Primarily online,
Linn-Benton Community CollegeLinn County? OR,Primarily online,
Genesee Community CollegeGenesee County? NY,Primarily in person,
Snow CollegeSanpete County? UT,Fully in person,
Northeast Lakeview CollegeBexar County? TX,Primarily online,
Napa Valley CollegeNapa County? CA,Primarily online,
Northwest Florida State CollegeOkaloosa County? FL,Primarily in person,
Butler UniversityMarion County? IN,Primarily online,
University of BridgeportFairfield County? CT,Primarily in person,
Bentley UniversityMiddlesex County? MA,Primarily online,
Midland CollegeMidland County? TX,Primarily online,
Piedmont Virginia Community CollegeAlbemarle County? VA,Primarily online,
Durham Technical Community CollegeDurham County? NC,Primarily online,
Norwalk Community CollegeFairfield County? CT,Primarily online,
Bethel University (Tenn.)Carroll County? TN,Primarily in person,
Iowa Central Community CollegeWebster County? IA,Primarily in person,
Lee UniversityBradley County? TN,Fully in person,
Community College of VermontWashington County? VT,Primarily online,
Gaston CollegeGaston County? NC,Primarily online,
University of Washington at TacomaPierce County? WA,Primarily online,
Concordia University (Ore.)Multnomah County? OR,Other,
Oregon Institute of TechnologyKlamath County? OR,Primarily online,
Pennsylvania College of TechnologyLycoming County? PA,Primarily in person,
Frostburg State UniversityAllegany County? MD,Primarily online,
Missouri Baptist UniversitySt. Louis County? MO,Primarily online,
University of ScrantonLackawanna County? PA,Hybrid,
Lake Superior CollegeSt. Louis County? MN,Primarily in person,
Fairfield UniversityFairfield County? CT,Primarily in person,
North Idaho CollegeKootenai County? ID,Hybrid,
Southwestern Oklahoma State UniversityCuster County? OK,Primarily in person,
Hawkeye Community CollegeBlack Hawk County? IA,Primarily online,
Northern Essex Community CollegeEssex County? MA,Primarily online,
Schenectady County Community CollegeSchenectady County? NY,Primarily online,
Indiana University at South BendSt. Joseph County? IN,Hybrid,
Auburn University at MontgomeryMontgomery County? AL,Hybrid,
Eastern Connecticut State UniversityWindham County? CT,Primarily in person,
Holyoke Community CollegeHampden County? MA,Primarily online,
Grambling State UniversityLincoln Parish? LA,Primarily in person,
Norfolk State UniversityNorfolk City? VA,Primarily online,
Abilene Christian UniversityTaylor County? TX,Primarily in person,
Moberly Area Community CollegeRandolph County? MO,Primarily in person,
University of West AlabamaSumter County? AL,Fully in person,
Utica CollegeOneida County? NY,Hybrid,
La Salle UniversityPhiladelphia County? PA,Fully online,
Central Carolina Community CollegeLee County? NC,Primarily in person,
Winston-Salem State UniversityForsyth County? NC,Hybrid,
Western Oregon UniversityPolk County? OR,Primarily online,
Spokane Falls Community CollegeSpokane County? WA,Primarily online,
Skagit Valley CollegeSkagit County? WA,Primarily online,
Indiana University SoutheastFloyd County? IN,Hybrid,
High Point UniversityGuilford County? NC,Fully in person,
Wilkes UniversityLuzerne County? PA,Primarily online,
Rochester Community and Technical CollegeOlmsted County? MN,Primarily online,
Harding UniversityWhite County? AR,Hybrid,
Dalton State CollegeWhitfield County? GA,Primarily in person,
University of Detroit MercyWayne County? MI,Hybrid,
Bemidji State UniversityBeltrami County? MN,Primarily online,
Mississippi CollegeHinds County? MS,Primarily online,
Arizona State University-PolytechnicMaricopa County? AZ,Hybrid,
State University of New York College at Old WestburyNassau County? NY,Fully online,
Jackson College (Mich.)Jackson County? MI,Fully online,
Gateway Community CollegeMaricopa County? AZ,Primarily online,
Heartland Community CollegeMcLean County? IL,Primarily online,
Plymouth State UniversityGrafton County? NH,Hybrid,
Wallace State Community College at Hanceville (Ala.)Cullman County? AL,Other,
Concordia University at St. PaulRamsey County? MN,Primarily in person,
Niagara County Community CollegeNiagara County? NY,Primarily online,
Central Arizona CollegePinal County? AZ,Fully online,
William Carey UniversityForrest County? MS,Primarily online,
University of BaltimoreBaltimore City? MD,Fully online,
College of MarinMarin County? CA,Primarily online,
Northeast Community CollegeMadison County? NE,Primarily in person,
Pratt InstituteKings County? NY,Primarily online,
Housatonic Community CollegeFairfield County? CT,Primarily online,
Luzerne County Community CollegeLuzerne County? PA,Undetermined,
Atlantic Cape Community CollegeAtlantic County? NJ,Primarily online,
Franklin UniversityFranklin County? OH,Fully online,
Paris Junior CollegeLamar County? TX,Primarily in person,
Christopher Newport UniversityNewport News City? VA,Primarily online,
Benedictine UniversityDuPage County? IL,Primarily in person,
Pennsylvania State University-HarrisburgDauphin County? PA,Hybrid,
Itawamba Community CollegeItawamba County? MS,Primarily online,
Nevada State CollegeClark County? NV,Primarily online,
Molloy CollegeNassau County? NY,Primarily in person,
Springfield Technical Community CollegeHampden County? MA,Undetermined,
Angelina CollegeAngelina County? TX,Hybrid,
Longwood UniversityPrince Edward County? VA,Primarily in person,
Temple CollegeBell County? TX,Fully online,
Southern Crescent Technical CollegeSpalding County? GA,Primarily in person,
Robert Morris University (Pa.)Allegheny County? PA,Primarily online,
Central Oregon Community CollegeDeschutes County? OR,Primarily in person,
South Puget Sound Community CollegeThurston County? WA,Primarily online,
University of Cincinnati-Blue Ash CollegeHamilton County? OH,Hybrid,
University of Findlay (Ohio)Hancock County? OH,Hybrid,
Drake UniversityPolk County? IA,Primarily in person,
Kilgore CollegeGregg County? TX,Primarily in person,
Clarion University of PennsylvaniaClarion County? PA,Primarily online,
Jackson State Community CollegeMadison County? TN,Primarily online,
Roger Williams UniversityBristol County? RI,Primarily in person,
St. Catherine UniversityRamsey County? MN,Primarily online,
Governors State UniversityWill County? IL,Hybrid,
Westmoreland County Community CollegeWestmoreland County? PA,Primarily online,
Rogue Community CollegeJosephine County? OR,Undetermined,
Lesley UniversityMiddlesex County? MA,Primarily online,
Pearl River Community CollegePearl River County? MS,Primarily online,
