niche_name,percent_female,percent_male,self_republican,self_democratic,self_indep,self_other,self_dont_care,school_very_liberal,school_liberal,school_moderate,school_conservative,school_very_conservative,school_libertarian,school_not_sure
Sewanee - The University of the South,51%,49%,14%,36%,21%,7%,21%,6%,19%,38%,28%,n/a,n/a,9%
Southern Connecticut State University,61%,39%,12%,34%,17%,5%,32%,8%,24%,17%,5%,n/a,n/a,45%
Shaw University,57%,43%,8%,42%,25%,8%,17%,3%,14%,21%,10%,7%,n/a,45%
University of South Carolina - Upstate,67%,33%,17%,29%,26%,n/a,29%,5%,19%,19%,14%,n/a,n/a,43%
Northwestern University,51%,49%,3%,69%,14%,7%,7%,11%,60%,20%,2%,n/a,n/a,6%
Texas A&M University - Commerce,60%,40%,30%,30%,24%,n/a,15%,3%,2%,32%,16%,3%,n/a,44%
Community College of Denver,57%,43%,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
St. Lawrence University,55%,45%,31%,38%,31%,n/a,n/a,9%,32%,34%,9%,2%,n/a,14%
Xavier University of Louisiana,75%,25%,3%,63%,19%,3%,13%,8%,14%,24%,17%,2%,n/a,35%
University of North Carolina at Charlotte,46%,54%,18%,35%,23%,1%,23%,4%,22%,25%,6%,1%,n/a,41%
Northern Arizona University,61%,39%,17%,34%,29%,n/a,20%,11%,33%,20%,3%,1%,0%,32%
Marshall University,57%,43%,18%,33%,27%,4%,18%,5%,16%,38%,9%,1%,n/a,31%
Wartburg College,54%,46%,36%,21%,21%,n/a,21%,4%,25%,25%,7%,n/a,n/a,39%
Monmouth University,58%,42%,12%,15%,24%,6%,42%,6%,9%,26%,9%,2%,2%,46%
SUNY Alfred State College,35%,65%,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Saint Louis University,60%,40%,22%,36%,21%,7%,14%,7%,12%,35%,17%,4%,1%,24%
Louisiana State University Health Sciences Center - New Orleans,88%,12%,n/a,n/a,n/a,n/a,n/a,n/a,n/a,33%,n/a,n/a,n/a,67%
University of Texas - San Antonio,51%,49%,15%,30%,16%,3%,36%,6%,20%,30%,6%,1%,1%,37%
Westminster College - Missouri,45%,55%,33%,50%,n/a,n/a,17%,8%,17%,17%,8%,n/a,n/a,50%
Minerva Schools at Keck Graduate Institute,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
California State University - Fullerton,57%,43%,11%,45%,21%,2%,21%,5%,32%,27%,4%,0%,0%,31%
Sacred Heart University,64%,36%,25%,25%,17%,6%,28%,2%,11%,23%,11%,6%,n/a,47%
Arizona State University - Downtown Phoenix Campus,69%,31%,17%,42%,21%,4%,17%,4%,44%,16%,n/a,n/a,n/a,36%
Sam Houston State University,62%,38%,23%,26%,17%,2%,33%,2%,12%,33%,12%,2%,2%,37%
York College of Pennsylvania,55%,45%,9%,26%,35%,n/a,29%,6%,14%,37%,11%,3%,n/a,29%
Northeastern University,51%,49%,5%,57%,24%,3%,11%,10%,43%,25%,2%,n/a,n/a,20%
Jacksonville State University,57%,43%,26%,22%,22%,n/a,30%,6%,4%,42%,10%,4%,n/a,35%
La Salle University,61%,39%,20%,50%,15%,n/a,15%,n/a,21%,33%,2%,5%,n/a,40%
University of Alabama - Birmingham,60%,40%,23%,44%,7%,7%,20%,10%,18%,30%,4%,1%,1%,37%
Pitzer College,56%,44%,n/a,57%,29%,14%,n/a,57%,32%,5%,3%,n/a,n/a,3%
University of Arkansas at Pine Bluff,59%,41%,4%,62%,8%,n/a,27%,8%,13%,23%,15%,3%,n/a,38%
Elon University,60%,40%,22%,54%,17%,2%,5%,3%,19%,33%,28%,3%,1%,13%
Springfield College - Massachusetts,50%,50%,11%,39%,22%,n/a,28%,4%,15%,26%,7%,n/a,n/a,48%
University of Toledo,49%,51%,17%,38%,14%,2%,30%,4%,13%,34%,6%,n/a,n/a,43%
Johnson C. Smith University,61%,39%,n/a,72%,11%,n/a,17%,10%,26%,21%,n/a,2%,n/a,41%
Claremont McKenna College,48%,52%,9%,45%,18%,9%,18%,4%,19%,56%,4%,n/a,7%,11%
Stanford University,50%,50%,14%,50%,21%,n/a,14%,22%,48%,20%,1%,1%,n/a,7%
College of the Holy Cross,51%,49%,28%,44%,17%,n/a,11%,n/a,22%,28%,31%,11%,n/a,8%
Northwestern State University of Louisiana,69%,31%,29%,33%,17%,4%,17%,4%,6%,33%,6%,2%,n/a,50%
Ithaca College,57%,43%,2%,46%,24%,2%,26%,43%,49%,n/a,n/a,n/a,1%,8%
Lynn University,49%,51%,25%,25%,13%,n/a,38%,6%,18%,35%,6%,n/a,n/a,35%
St. Cloud State University,52%,48%,26%,32%,16%,3%,24%,8%,29%,15%,9%,n/a,2%,38%
Fisk University,70%,30%,n/a,68%,16%,n/a,16%,6%,25%,28%,9%,3%,3%,25%
Wesleyan University,55%,45%,4%,74%,17%,n/a,4%,72%,24%,2%,n/a,n/a,n/a,2%
LIM College,89%,11%,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
California State University - Sacramento,56%,44%,13%,33%,19%,4%,31%,5%,28%,27%,3%,0%,n/a,37%
Troy University,61%,39%,38%,23%,10%,2%,28%,3%,7%,25%,17%,3%,1%,45%
Loras College,46%,54%,50%,10%,10%,n/a,30%,n/a,20%,35%,25%,5%,n/a,15%
University of Central Arkansas,61%,39%,26%,30%,21%,2%,21%,3%,16%,40%,11%,1%,n/a,28%
Widener University,55%,45%,23%,27%,17%,3%,30%,7%,7%,38%,5%,n/a,n/a,43%
Rockhurst University,57%,43%,50%,17%,8%,n/a,25%,4%,n/a,29%,29%,4%,n/a,33%
Virginia Union University,54%,46%,7%,64%,7%,14%,7%,6%,16%,29%,3%,6%,n/a,39%
Columbia College Chicago,58%,42%,2%,49%,12%,3%,34%,39%,34%,6%,1%,2%,1%,17%
Academy of Art University,54%,46%,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
University of Northern Iowa,59%,41%,27%,25%,31%,2%,15%,5%,22%,18%,10%,n/a,n/a,45%
Middle Tennessee State University,54%,46%,20%,40%,13%,4%,23%,4%,17%,29%,6%,2%,1%,40%
Fairfield University,60%,40%,19%,15%,44%,7%,15%,n/a,7%,33%,33%,9%,n/a,19%
University of San Diego,55%,45%,34%,36%,20%,2%,9%,5%,8%,32%,33%,2%,n/a,20%
Skidmore College,61%,39%,n/a,50%,33%,n/a,17%,28%,57%,8%,3%,n/a,n/a,5%
Southeastern Louisiana University,62%,38%,11%,37%,37%,n/a,16%,2%,5%,34%,12%,7%,n/a,41%
Edward Waters College,48%,52%,n/a,67%,n/a,n/a,33%,n/a,13%,n/a,n/a,n/a,n/a,88%
University of Minnesota Duluth,48%,52%,15%,31%,15%,5%,33%,4%,21%,31%,11%,1%,3%,28%
Grand Valley State University,60%,40%,30%,24%,15%,3%,28%,3%,26%,27%,12%,1%,1%,30%
Drake University,59%,41%,38%,38%,14%,n/a,10%,10%,48%,17%,4%,2%,n/a,19%
Shippensburg University of Pennsylvania,51%,49%,24%,41%,10%,n/a,24%,4%,10%,25%,13%,2%,n/a,46%
California State University - Fresno,60%,40%,15%,47%,13%,3%,23%,2%,22%,25%,6%,1%,1%,43%
Delaware State University,66%,34%,3%,61%,6%,n/a,29%,5%,16%,32%,11%,3%,n/a,32%
Milwaukee School of Engineering,26%,74%,10%,50%,10%,10%,20%,8%,n/a,15%,27%,n/a,n/a,50%
University of Wisconsin - Platteville,34%,66%,28%,19%,22%,3%,28%,n/a,10%,34%,14%,5%,2%,34%
Claflin University,69%,31%,2%,63%,7%,5%,23%,12%,22%,16%,12%,12%,n/a,25%
University of the District of Columbia,52%,48%,n/a,75%,8%,n/a,17%,8%,22%,25%,3%,n/a,n/a,42%
Hampton University,66%,34%,4%,76%,10%,2%,8%,9%,23%,26%,12%,4%,n/a,26%
Franklin Pierce University,54%,46%,15%,23%,38%,8%,15%,9%,14%,23%,n/a,n/a,n/a,55%
University of Wisconsin - Stevens Point,52%,48%,10%,35%,19%,13%,23%,5%,25%,22%,4%,2%,4%,38%
Merrimack College,50%,50%,6%,n/a,65%,n/a,29%,4%,18%,14%,7%,7%,n/a,50%
Butler University,59%,41%,28%,32%,16%,4%,20%,2%,23%,36%,23%,n/a,n/a,16%
East Tennessee State University,57%,43%,40%,9%,29%,n/a,23%,6%,9%,25%,14%,n/a,2%,45%
Aquinas College - Michigan,60%,40%,31%,31%,19%,4%,15%,n/a,33%,23%,20%,5%,n/a,20%
University of Massachusetts - Lowell,38%,62%,11%,25%,31%,3%,31%,8%,16%,19%,3%,2%,n/a,53%
Florida Atlantic University,56%,44%,13%,35%,22%,1%,28%,8%,16%,24%,5%,1%,1%,45%
University of South Alabama,59%,41%,20%,44%,8%,2%,25%,2%,11%,27%,12%,5%,n/a,42%
Chadron State College,55%,45%,47%,18%,n/a,n/a,35%,n/a,5%,10%,33%,n/a,n/a,52%
The Catholic University of America,53%,47%,24%,31%,24%,n/a,21%,n/a,2%,16%,47%,29%,n/a,7%
Viterbo University,74%,26%,25%,42%,n/a,n/a,33%,5%,18%,32%,5%,5%,n/a,36%
St. Francis College,61%,39%,n/a,30%,10%,n/a,60%,4%,8%,31%,15%,n/a,8%,35%
University of Montana,55%,45%,21%,23%,33%,2%,21%,19%,51%,15%,2%,n/a,1%,12%
Saginaw Valley State University,61%,39%,23%,37%,21%,n/a,19%,6%,13%,19%,6%,1%,n/a,53%
Arkansas State University,57%,43%,27%,13%,24%,2%,33%,3%,11%,24%,16%,1%,n/a,45%
Southern New Hampshire University,62%,38%,16%,28%,23%,5%,28%,7%,6%,15%,4%,1%,n/a,67%
SUNY Geneseo,62%,38%,8%,46%,19%,4%,23%,2%,50%,30%,4%,n/a,2%,12%
Haverford College,51%,49%,n/a,43%,43%,n/a,14%,8%,83%,n/a,n/a,n/a,n/a,8%
Chapman University,61%,39%,16%,35%,25%,2%,23%,2%,34%,34%,12%,2%,2%,14%
Benedict College,52%,48%,11%,56%,11%,n/a,22%,19%,11%,26%,7%,n/a,n/a,37%
California State University - Northridge,55%,45%,5%,37%,17%,5%,36%,9%,33%,18%,3%,1%,1%,35%
Gonzaga University,53%,47%,9%,41%,29%,6%,15%,n/a,24%,39%,17%,3%,n/a,17%
Kennesaw State University,49%,51%,26%,28%,13%,3%,28%,4%,15%,32%,9%,1%,n/a,39%
Wayne State University,58%,42%,7%,47%,12%,5%,29%,9%,24%,23%,2%,1%,n/a,41%
High Point University,57%,43%,32%,34%,21%,4%,9%,2%,3%,17%,38%,8%,2%,28%
Hofstra University,56%,44%,8%,47%,16%,4%,25%,18%,32%,19%,2%,n/a,1%,28%
Worcester Polytechnic Institute,39%,61%,13%,38%,25%,n/a,25%,3%,18%,18%,5%,n/a,n/a,55%
Doane University,45%,55%,22%,22%,44%,n/a,11%,5%,25%,35%,5%,5%,n/a,25%
Loyola University Maryland,58%,42%,46%,14%,21%,n/a,18%,2%,20%,24%,33%,2%,n/a,18%
Gannon University,59%,41%,33%,33%,13%,n/a,20%,n/a,2%,28%,33%,5%,n/a,33%
University of Missouri - Kansas City,57%,43%,22%,30%,11%,11%,26%,10%,18%,22%,7%,n/a,1%,41%
New Mexico State University,55%,45%,20%,29%,21%,3%,28%,9%,16%,25%,8%,1%,3%,39%
Lincoln University - Missouri,57%,43%,18%,36%,18%,n/a,27%,n/a,22%,33%,n/a,n/a,n/a,44%
Drexel University,46%,54%,13%,39%,27%,n/a,21%,7%,30%,29%,1%,1%,2%,31%
Full Sail University,28%,72%,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Kansas Wesleyan University,40%,60%,n/a,n/a,17%,n/a,83%,n/a,36%,18%,9%,9%,n/a,27%
Colorado College,55%,45%,11%,63%,21%,n/a,5%,49%,46%,5%,n/a,n/a,n/a,n/a
Montana Technological University,34%,66%,29%,6%,18%,6%,41%,3%,13%,26%,26%,n/a,n/a,32%
Saint Augustine's University,49%,51%,n/a,80%,n/a,20%,n/a,6%,18%,35%,12%,n/a,n/a,29%
Eastern Washington University,54%,46%,29%,21%,22%,5%,24%,4%,16%,41%,7%,1%,1%,31%
Edgewood College,74%,26%,21%,50%,n/a,7%,21%,3%,45%,16%,6%,n/a,n/a,29%
Wilberforce University,55%,45%,20%,n/a,40%,n/a,40%,n/a,25%,25%,25%,13%,n/a,13%
Longwood University,67%,33%,34%,17%,29%,n/a,20%,2%,15%,20%,18%,4%,2%,40%
Augsburg University,52%,48%,13%,56%,6%,6%,19%,34%,34%,17%,n/a,n/a,n/a,14%
Birmingham-Southern College,52%,48%,30%,40%,10%,10%,10%,14%,32%,36%,14%,n/a,n/a,5%
Missouri University of Science & Technology,24%,76%,27%,18%,21%,3%,30%,5%,14%,34%,12%,2%,2%,32%
Villanova University,53%,47%,37%,26%,22%,2%,13%,n/a,n/a,26%,40%,8%,n/a,27%
John Carroll University,47%,53%,48%,22%,17%,n/a,13%,2%,12%,29%,31%,8%,2%,16%
Berkeley College - New York,62%,38%,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Colorado Mesa University,53%,47%,29%,20%,32%,n/a,20%,1%,15%,22%,4%,3%,1%,53%
University of Colorado Denver,54%,46%,7%,48%,24%,3%,18%,12%,39%,22%,2%,n/a,2%,23%
The College of Idaho,52%,48%,25%,17%,33%,n/a,25%,21%,29%,14%,11%,n/a,n/a,25%
Youngstown State University,51%,49%,15%,35%,15%,9%,26%,8%,28%,23%,4%,4%,n/a,33%
University of Louisiana - Monroe,63%,37%,10%,33%,5%,10%,43%,4%,6%,28%,6%,4%,n/a,51%
West Liberty University,62%,38%,40%,20%,n/a,n/a,40%,n/a,7%,36%,n/a,n/a,n/a,57%
Fayetteville State University,68%,32%,n/a,65%,12%,n/a,23%,8%,20%,26%,n/a,n/a,2%,44%
Millsaps College,52%,48%,20%,60%,n/a,n/a,20%,17%,50%,17%,17%,n/a,n/a,n/a
University of California - Davis,61%,39%,11%,41%,20%,1%,28%,13%,44%,17%,2%,0%,0%,23%
West Virginia Wesleyan College,55%,45%,38%,38%,23%,n/a,n/a,4%,27%,27%,8%,4%,n/a,31%
Kentucky State University,56%,44%,n/a,75%,n/a,n/a,25%,10%,20%,20%,5%,10%,5%,30%
Pace University,62%,38%,8%,57%,16%,n/a,19%,17%,33%,15%,2%,2%,1%,31%
Ripon College,53%,47%,13%,7%,40%,n/a,40%,6%,27%,30%,12%,3%,n/a,21%
St. John's University - New York,57%,43%,13%,44%,13%,1%,29%,4%,20%,22%,21%,2%,1%,31%
Eastern Kentucky University,57%,43%,27%,29%,10%,n/a,34%,2%,12%,37%,19%,1%,n/a,29%
University of St. Thomas - Minnesota,47%,53%,36%,22%,22%,4%,16%,3%,18%,30%,30%,3%,n/a,15%
Tufts University,52%,48%,11%,46%,24%,11%,8%,31%,57%,3%,n/a,2%,n/a,8%
St. Ambrose University,55%,45%,27%,20%,23%,n/a,30%,2%,23%,25%,7%,5%,5%,34%
Colby College,52%,48%,13%,38%,25%,13%,13%,6%,74%,18%,n/a,n/a,3%,n/a
Ursinus College,51%,49%,29%,47%,6%,n/a,18%,7%,33%,30%,7%,3%,n/a,20%
University of Evansville,58%,42%,41%,18%,18%,n/a,24%,3%,41%,21%,3%,n/a,n/a,32%
Marist College,58%,42%,18%,31%,23%,3%,26%,2%,23%,23%,19%,n/a,n/a,33%
Johnson & Wales University - Charlotte,67%,33%,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Texas Tech University Health Sciences Center,85%,15%,20%,10%,50%,n/a,20%,7%,7%,13%,47%,7%,n/a,20%
Duquesne University,64%,36%,23%,31%,20%,6%,20%,n/a,9%,29%,28%,6%,n/a,27%
Quincy University,45%,55%,20%,30%,20%,n/a,30%,n/a,16%,53%,16%,n/a,n/a,16%
Harvey Mudd College,49%,51%,n/a,25%,50%,25%,n/a,n/a,71%,14%,n/a,n/a,n/a,14%
Westminster College - Utah,60%,40%,9%,41%,27%,18%,5%,34%,36%,14%,5%,n/a,2%,10%
Rose-Hulman Institute of Technology,25%,75%,33%,22%,33%,n/a,11%,5%,n/a,32%,18%,n/a,n/a,45%
Transylvania University,60%,40%,29%,43%,n/a,n/a,29%,11%,47%,37%,n/a,n/a,n/a,5%
University of Montana - Western,60%,40%,13%,13%,25%,n/a,50%,n/a,n/a,21%,21%,n/a,n/a,57%
Illinois Wesleyan University,52%,48%,6%,44%,13%,6%,31%,16%,26%,35%,3%,n/a,n/a,19%
Tarleton State University,61%,39%,46%,15%,10%,1%,27%,n/a,5%,26%,28%,7%,1%,32%
Western Washington University,58%,42%,6%,51%,16%,4%,23%,32%,55%,4%,1%,1%,2%,6%
North Seattle College,47%,53%,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Fordham University,57%,43%,6%,44%,31%,2%,17%,8%,24%,35%,16%,2%,1%,13%
St. Joseph's College - New York,68%,32%,50%,33%,n/a,n/a,17%,6%,24%,12%,18%,n/a,12%,29%
Hanover College,55%,45%,33%,44%,11%,n/a,11%,n/a,19%,45%,10%,n/a,3%,23%
Otterbein University,62%,38%,40%,13%,13%,7%,27%,16%,42%,11%,3%,n/a,n/a,29%
Clarkson University,31%,69%,37%,16%,26%,n/a,21%,3%,14%,20%,23%,n/a,3%,37%
University of Baltimore,58%,42%,8%,77%,n/a,8%,8%,3%,40%,27%,3%,3%,n/a,23%
Carthage College,56%,44%,15%,32%,24%,n/a,29%,5%,23%,29%,17%,2%,n/a,25%
William Paterson University of New Jersey,55%,45%,4%,62%,8%,n/a,27%,10%,29%,25%,4%,2%,n/a,31%
California Institute of Technology,45%,55%,n/a,n/a,n/a,n/a,n/a,25%,25%,13%,n/a,13%,n/a,25%
Alfred University,49%,51%,8%,31%,23%,15%,23%,10%,37%,23%,7%,n/a,n/a,23%
Louisiana Tech University,45%,55%,31%,9%,29%,n/a,31%,n/a,3%,22%,27%,10%,n/a,37%
Wofford College,53%,47%,50%,17%,8%,n/a,25%,n/a,5%,20%,50%,10%,n/a,15%
Peru State College,58%,42%,44%,11%,22%,n/a,22%,7%,7%,20%,20%,7%,n/a,40%
University of Northern Colorado,64%,36%,16%,44%,21%,3%,16%,2%,23%,28%,7%,2%,n/a,38%
University of San Francisco,63%,37%,5%,53%,12%,7%,24%,29%,38%,18%,3%,1%,1%,10%
Trine University,32%,68%,24%,10%,10%,5%,52%,6%,9%,16%,28%,6%,n/a,34%
Keiser University - Fort Lauderdale,67%,33%,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Knox College,56%,44%,7%,53%,20%,n/a,20%,50%,41%,5%,n/a,n/a,n/a,5%
Princeton University,49%,51%,20%,40%,10%,10%,20%,14%,41%,27%,9%,n/a,5%,5%
Kansas City Art Institute,71%,29%,n/a,17%,17%,n/a,67%,25%,19%,6%,6%,6%,n/a,38%
Grand View University,55%,45%,n/a,36%,36%,9%,18%,12%,18%,29%,18%,n/a,n/a,24%
Loyola Marymount University,56%,44%,15%,45%,11%,2%,26%,6%,31%,21%,16%,n/a,1%,24%
Lafayette College,52%,48%,44%,19%,25%,n/a,13%,4%,37%,37%,6%,2%,n/a,14%
University of Tennessee - Chattanooga,57%,43%,38%,18%,18%,5%,23%,n/a,19%,28%,12%,5%,n/a,37%
University of Texas - El Paso,52%,48%,7%,51%,20%,2%,20%,6%,28%,24%,5%,1%,3%,34%
Eastern Michigan University,60%,40%,14%,42%,13%,4%,26%,11%,23%,27%,2%,n/a,2%,34%
Austin Peay State University,60%,40%,24%,27%,12%,10%,27%,4%,8%,27%,7%,3%,n/a,51%
CUNY John Jay College of Criminal Justice,60%,40%,8%,57%,9%,n/a,26%,13%,30%,18%,4%,1%,n/a,33%
Bentley University,40%,60%,32%,21%,32%,n/a,16%,n/a,7%,14%,51%,7%,2%,19%
Buena Vista University,64%,36%,n/a,29%,29%,n/a,43%,n/a,25%,25%,13%,n/a,6%,31%
Roanoke College,58%,42%,30%,40%,15%,5%,10%,3%,31%,17%,25%,3%,3%,19%
King's College - Pennsylvania,46%,54%,17%,50%,17%,n/a,17%,n/a,17%,22%,6%,n/a,n/a,56%
Creighton University,57%,43%,29%,39%,23%,3%,6%,n/a,12%,32%,32%,10%,2%,13%
Iona College,50%,50%,5%,40%,25%,n/a,30%,5%,10%,36%,17%,5%,n/a,29%
Miles College,52%,48%,n/a,64%,9%,n/a,27%,n/a,6%,25%,6%,6%,n/a,56%
Carleton College,50%,50%,13%,50%,13%,6%,19%,49%,51%,n/a,n/a,n/a,n/a,n/a
School of the Art Institute of Chicago,75%,25%,4%,32%,21%,11%,32%,47%,27%,8%,n/a,n/a,n/a,18%
Tallahassee Community College,50%,50%,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Johns Hopkins University,51%,49%,13%,51%,23%,n/a,13%,7%,38%,28%,3%,n/a,1%,23%
Vincennes University,47%,53%,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
LeMoyne-Owen College,69%,31%,n/a,n/a,n/a,n/a,n/a,33%,11%,22%,n/a,n/a,n/a,33%
Long Island University - Brooklyn,70%,30%,n/a,56%,10%,3%,31%,8%,25%,22%,6%,n/a,1%,38%
American International College,62%,38%,7%,29%,36%,7%,21%,n/a,19%,19%,n/a,n/a,n/a,63%
Utica College,57%,43%,21%,17%,13%,n/a,50%,3%,22%,16%,n/a,n/a,3%,57%
Emory University,60%,40%,23%,48%,10%,n/a,20%,15%,44%,22%,1%,n/a,2%,16%
University of Mount Union,45%,55%,42%,26%,5%,5%,21%,7%,29%,31%,10%,n/a,n/a,22%
American University,62%,38%,12%,59%,19%,1%,9%,45%,41%,6%,n/a,n/a,n/a,8%
Christian Brothers University,51%,49%,10%,n/a,30%,n/a,60%,5%,5%,24%,10%,n/a,n/a,57%
Kalamazoo College,58%,42%,17%,42%,17%,8%,17%,52%,38%,5%,n/a,n/a,n/a,5%
University of Hawaii at Manoa,57%,43%,8%,30%,13%,n/a,48%,5%,30%,17%,4%,n/a,1%,43%
University of West Florida,55%,45%,27%,22%,28%,5%,18%,5%,5%,30%,9%,2%,1%,49%
University of New Mexico,56%,44%,32%,31%,14%,1%,23%,9%,35%,20%,4%,1%,1%,31%
Drury University,58%,42%,21%,32%,21%,11%,16%,15%,27%,27%,3%,n/a,n/a,27%
Macalester College,59%,41%,n/a,80%,n/a,n/a,20%,82%,18%,n/a,n/a,n/a,n/a,n/a
Stillman College,54%,46%,n/a,50%,25%,n/a,25%,n/a,20%,30%,10%,10%,n/a,30%
Saint Michael's College,55%,45%,19%,31%,44%,n/a,6%,19%,44%,15%,n/a,n/a,n/a,22%
Point Park University,61%,39%,14%,49%,20%,3%,14%,18%,36%,13%,2%,n/a,3%,28%
Saint Joseph's University,54%,46%,26%,23%,29%,n/a,23%,4%,12%,33%,25%,7%,n/a,19%
University of Redlands,59%,41%,16%,48%,12%,8%,16%,10%,46%,23%,5%,3%,n/a,13%
Millikin University,57%,43%,44%,n/a,11%,n/a,44%,9%,30%,15%,n/a,3%,n/a,42%
Nicholls State University,63%,37%,7%,33%,27%,n/a,33%,n/a,10%,21%,10%,3%,n/a,55%
Michigan Technological University,27%,73%,23%,14%,40%,n/a,23%,2%,8%,23%,27%,2%,2%,37%
Salve Regina University,67%,33%,5%,25%,30%,5%,35%,2%,17%,22%,22%,2%,n/a,34%
New York Film Academy - Los Angeles,44%,56%,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Le Moyne College,57%,43%,28%,28%,17%,6%,22%,4%,14%,29%,14%,4%,n/a,36%
Emerson College,60%,40%,n/a,39%,39%,n/a,21%,59%,34%,3%,n/a,n/a,n/a,3%
Texas A&M University - Corpus Christi,59%,41%,21%,28%,17%,4%,31%,2%,10%,26%,9%,3%,5%,46%
Franklin College,51%,49%,35%,30%,5%,n/a,30%,11%,21%,14%,11%,n/a,n/a,43%
Kenyon College,55%,45%,n/a,64%,18%,9%,9%,19%,75%,6%,n/a,n/a,n/a,n/a
University of Lynchburg,60%,40%,25%,15%,20%,n/a,40%,6%,23%,26%,6%,n/a,3%,37%
Illinois College,51%,49%,31%,31%,8%,n/a,31%,5%,32%,5%,5%,n/a,n/a,53%
Rensselaer Polytechnic Institute,32%,68%,14%,46%,11%,4%,25%,4%,20%,36%,n/a,2%,2%,38%
Bowdoin College,51%,49%,11%,72%,11%,n/a,6%,24%,60%,14%,n/a,n/a,n/a,2%
Morris College,60%,40%,13%,63%,13%,n/a,13%,8%,n/a,38%,n/a,8%,n/a,46%
National Louis University,69%,31%,n/a,50%,13%,n/a,38%,14%,21%,21%,n/a,n/a,n/a,43%
Hobart and William Smith Colleges,52%,48%,18%,47%,6%,6%,24%,5%,29%,34%,21%,n/a,n/a,11%
Franklin & Marshall College,55%,45%,20%,60%,10%,10%,n/a,5%,43%,29%,10%,n/a,2%,12%
Jarvis Christian College,54%,46%,n/a,57%,14%,n/a,29%,10%,10%,30%,10%,n/a,n/a,40%
Colorado Technical University - Colorado Springs,64%,36%,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Northland College,54%,46%,n/a,75%,n/a,25%,n/a,50%,33%,n/a,n/a,n/a,n/a,17%
Coppin State University,76%,24%,n/a,70%,n/a,n/a,30%,3%,16%,30%,11%,n/a,n/a,41%
SUNY Delhi,49%,51%,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Fitchburg State University,52%,48%,18%,41%,18%,n/a,23%,12%,28%,12%,n/a,2%,n/a,47%
Shenandoah University,60%,40%,46%,12%,23%,n/a,19%,7%,22%,27%,17%,n/a,n/a,28%
Bryant University,38%,62%,11%,36%,29%,7%,18%,6%,9%,16%,39%,3%,2%,25%
Seton Hall University,54%,46%,22%,30%,17%,2%,29%,2%,10%,31%,14%,6%,1%,36%
Saint Mary's College - Indiana,100%,0%,17%,29%,33%,n/a,21%,3%,8%,19%,42%,6%,3%,19%
California University of Pennsylvania,53%,47%,36%,24%,14%,2%,24%,1%,6%,24%,4%,1%,n/a,64%
Hamilton College,53%,47%,7%,33%,27%,7%,27%,17%,47%,30%,3%,n/a,n/a,3%
Metropolitan College of New York,73%,27%,n/a,100%,n/a,n/a,n/a,18%,9%,18%,n/a,n/a,n/a,55%
Lycoming College,53%,47%,18%,35%,18%,n/a,29%,7%,25%,32%,11%,n/a,n/a,25%
The College of St. Scholastica,69%,31%,14%,57%,7%,n/a,21%,4%,32%,25%,11%,4%,n/a,25%
Monmouth College,49%,51%,n/a,44%,22%,11%,22%,4%,22%,26%,15%,n/a,4%,30%
University of Dallas,53%,47%,54%,n/a,38%,n/a,8%,n/a,5%,n/a,27%,55%,n/a,14%
CUNY Medgar Evers College,70%,30%,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Murray State University,59%,41%,28%,28%,13%,6%,25%,3%,18%,27%,14%,3%,n/a,35%
Penn State Altoona,45%,55%,32%,39%,4%,4%,21%,4%,9%,31%,7%,4%,n/a,44%
Nebraska Wesleyan University,58%,42%,23%,38%,15%,n/a,23%,4%,17%,35%,9%,4%,n/a,30%
SUNY Brockport,56%,44%,14%,29%,20%,11%,26%,10%,19%,22%,3%,n/a,n/a,45%
Carnegie Mellon University,49%,51%,21%,38%,24%,n/a,17%,8%,36%,32%,3%,n/a,2%,18%
Suffolk University,55%,45%,3%,38%,19%,3%,38%,8%,38%,16%,2%,n/a,2%,35%
